"","site_key","pedon_key","latidude","longitude","POM_mgpg_OC","MAOM_mgpg_OC","WS_mgpg_OC_calculated","clay_total","claysilt","ph_h2o","al_fe","DEC","ET","prcp_mean","temp_mean","NPP_MODIS_mean_2001_2022_kgC_m2","horizon_ap","hzn_bot","aridity_index_v3","land_cover_simple","MCI","fMAOM","SOC_NPP_Ratio","SOC_NPP_Ratio_factor","aridity_index_factor","fraction_quant_method"
"1",24743,24743,37.06,-108.71,1.91665685146024,3.6776882511979,5.59434510265814,13.7,43,8.1,0.048908081675285,26.96,1876,324.195000260137,11.2176137,0.10022380952381,"0",8,0.1321,"shrubland",-0.239227933603906,0.657393883235852,55.8185238541459,"high","Arid","direct measurement"
"2",24765,24765,37.62,-101.4,2.3145133983739,12.5733288566192,14.8878422549931,68,98.5,7.7,0.398331391985722,74.37,2004,549.502501912415,12.6644852,0.283057142857143,"1",7,0.2115,"cropland",2.54460421757964,0.844536679074655,52.5965962374846,"high","Arid","direct measurement"
"3",24771,24771,37.78,-100.51,2.12472060222378,9.86798297392212,11.9927035761459,18.3,40.2,8.4,0.0550448891489731,43.62,1892,639.995001275092,12.6755942,0.390295238095238,"0",20,0.2784,"cropland",0.550257211656783,0.822832225550045,30.7272608158737,"low","Arid","direct measurement"
"4",24787,24787,39.14,-76.68,0.942658878866978,4.03933038650357,4.98198926537054,1.2,5.8,5,0.036170875726204,0.59,1376,1322.03250052128,13.214227,0.627795238095238,"1",33,0.8222,"cropland",-1.49374395469167,0.810786649939346,7.93569138957815,"low","Sub-humid","direct measurement"
"5",24802,24802,28.11,-97.32,10.5243245116474,15.7090226181764,26.2333471298237,26.5,46.9,7.8,0.0815789374577558,35.09,1809,1112.73249837011,21.960805,0.870157142857143,"0",10,0.4923,"forest",0.194057773447869,0.598818844596364,30.147827142678,"low","Arid","direct measurement"
"6",24818,24818,37.17,-105.08,11.9073835558827,23.014128377668,34.9215119335506,6.8,32.5,5.4,0.111701206554121,13.55,1417,812.210000514984,2.7850465,0.591966666666667,"0",10,0.3654,"forest",-0.765099329869983,0.659024397954468,58.9923620703034,"high","Arid","direct measurement"
"7",24918,24918,35.58,-83.32,9.68791818568711,29.8834526392371,39.5713708249242,8.4,31.6,4.7,0.751088397156162,2.34,1227,1914.09499638528,10.9788079,1.00147619047619,"0",15,1.1705,"forest",-0.255006246223919,0.755178605549214,39.5130420485668,"high","Humid","direct measurement"
"8",24981,24981,44.77,-84.03,11.0276830519282,23.4985721810974,34.5262552330256,1.8,16.7,5.1,0.0643374169657022,7.16,993,953.399998113513,6.098884872,0.684152380952381,"0",5,0.7119,"forest",-1.14074248177903,0.680600083110668,50.4657386194623,"high","Sub-humid","direct measurement"
"9",24997,24997,39.14,-119.89,12.3227689855689,18.1879122067251,30.510681192294,5.6,19,5.5,0.357009588260661,7.69,1473,1350.3224953413,4.0515261,0.410433333333333,"0",5,0.4968,"forest",-0.642352005960838,0.596116228677279,74.3377272613351,"high","Arid","direct measurement"
"10",25005,25005,41.22,-112.03,1.55459943656387,6.47494574601278,8.02954518257665,6,15.1,8.2,0.027614324479145,19.77,1706,963.44250178244,10.07894,0.35557619047619,"1",5,0.2958,"cropland",-0.610119178014412,0.806390100408526,22.5817852759585,"low","Arid","direct measurement"
"11",25007,25007,39.42,-112.65,5.32595842801004,15.5114087927265,20.8373672207365,59.3,97.9,8.3,0.128044074941545,70.89,1857,391.787498012651,10.162236,0.350238095238095,"1",18,0.121,"cropland",1.94439962683937,0.744403485738359,59.4948622210016,"high","Arid","direct measurement"
"12",25374,25374,33.16,-102.38,0.473710025611793,2.81915000523498,3.29286003084678,12,21.1,8,0.0553699745346928,14.22,2333,628.360001184046,15.65011525,0.26172380952381,"1",14,0.2009,"cropland",-0.824901693110552,0.856140248545585,12.5814309245992,"low","Arid","direct measurement"
"13",25378,25378,33.87,-101.78,3.25560792191403,11.259213474465,14.514821396379,50.8,80.7,6.6,0.165075579294837,27.87,2253,611.31749939546,14.7931969,0.278190476190476,"0",8,0.2187,"cropland",-0.00866948712284654,0.775704582715278,52.1758386381306,"high","Arid","direct measurement"
"14",25538,25538,35.56,-77.43,39.702467933106,32.2597012502029,71.962169183309,9.9,38.6,4,0.140379614073257,0.56,1427,1602.15749914199,15.761252,0.598014285714286,"0",4,0.8699,"forest",-1.32652119152887,0.448286948772041,120.335200851189,"high","Sub-humid","direct measurement"
"15",26028,26028,35,-99.53,0.867811071362547,9.01935608609992,9.88716715746247,26.3,76.1,5.7,0.0878298986303794,14.38,2062,771.337495983578,16.2222135,0.323090476190476,"1",15,0.3341,"cropland",-0.764889586886607,0.912228542560084,30.6018526885749,"low","Arid","direct measurement"
"16",26058,26058,38.88,-98.22,6.59376085916649,28.4238656644362,35.0176265236027,34,79.9,7.6,NA,64.28,1701,839.594998642802,12.3823753,0.397447619047619,"0",23,0.4131,"grassland",NA,0.811701662454988,88.1062682109241,"high","Arid","direct measurement"
"17",28474,28535,46.1,-86.15,0.349972092811258,0.920930122199914,1.27090221501117,0.6,6.7,4.8,0.0580113065401039,0.12,924,1032.44249989837,5.572939735,0.817880952380952,"0",38,0.8631,"forest",-1.48039486216859,0.72462704944756,1.55389633578263,"low","Sub-humid","direct measurement"
"18",26747,26751,39.73,-76.03,8.55307480622414,25.5073058509734,34.0603806571976,22.8,95.2,5.3,0.254994950516048,10.65,1241,1593.2499964647,11.4876305,0.615657142857143,"0",8,0.9283,"forest",-0.668923786471273,0.748884931959305,55.323618108498,"high","Humid","direct measurement"
"19",29550,29626,27.48,-98.41,5.56091926070039,12.5552853437095,18.1162046044099,41.1,64,5.7,0.0920742869222374,15.4,1961,767.077498551458,22.1958575,0.450280952380952,"0",12,0.3129,"grassland",-0.710293637955966,0.693041705913018,40.2331133675914,"high","Arid","direct measurement"
"20",28425,28486,38.55,-77,6.09225938617743,18.1319503109755,24.2242096971529,13,71.7,4.1,0.144977527823166,2.64,1338,1331.17250066996,13.39053085,0.833504761904762,"1",10,0.7909,"cropland",-1.22175365622749,0.748505339809147,29.0630729472914,"low","Sub-humid","direct measurement"
"21",26074,26074,63.71,-150.96,8.81512904476695,13.7681079750218,22.5832370197888,3.4,34.2,4.3,0.222209306678646,4.88,571,580.495000563562,-2.037907,0.36647619047619,"0",14,0.8483,"forest",-0.99196610742247,0.609660517797223,61.6226581880931,"high","Sub-humid","direct measurement"
"22",26115,26115,35.58,-83.84,4.17006194896765,23.9964939289823,28.1665558779499,37.2,85.1,5.7,0.525234369414101,6.64,1275,2146.44250330329,12.520953,0.671452380952381,"1",21,1.1427,"cropland",-0.419268819658646,0.851949881020698,41.948702062831,"high","Humid","direct measurement"
"23",26127,26127,38.7,-76.02,1.95706393738747,8.5236946287343,10.4807585661218,11.5,89.2,6.3,0.118340090482163,6.31,1356,1482.95000073314,13.57953125,0.743571428571429,"1",20,0.832,"cropland",-1.09313066214139,0.813270773766937,14.0951604155336,"low","Sub-humid","direct measurement"
"24",26172,26172,47.43,-87.99,5.01940381118052,16.2848106270262,21.3042144382067,5.7,37.9,4.7,0.263511697994517,4.94,879,1292.58249991061,3.99009635,0.807080952380952,"0",15,0.9478,"forest",-0.922324665494252,0.764393856166844,26.3966264788651,"low","Humid","direct measurement"
"25",26296,26296,40.32,-120.31,5.92452162721191,32.5981472174352,38.5226688446471,58.9,91.2,7.7,0.199678694141013,56.88,1702,506.46250082273,10.3031672,0.390719047619048,"1",13,0.1979,"cropland",1.4047599894986,0.846206874941503,98.5942944921561,"high","Arid","direct measurement"
"26",26322,26322,44.26,-85.92,4.9289698518815,16.1443751245915,21.073344976473,5.4,23.2,5.1,0.0893250808695567,2.24,1014,1092.48749824241,7.46746025,1.04227619047619,"0",10,0.8364,"forest",-1.33052508118868,0.766104059066827,20.2185804195,"low","Sub-humid","direct measurement"
"27",28479,28540,44.96,-74.65,5.80736208804488,38.3653315356339,44.1726936236787,39.3,68.6,6.7,0.568005263157895,32.53,966,1127.66749896854,6.85797525,0.61562380952381,"1",15,0.992,"cropland",0.861386383367098,0.868530496747161,71.7527375327584,"high","Humid","direct measurement"
"28",28482,28543,34.29,-81.81,1.68364277578802,6.79269413911874,8.47633691490675,3.9,23.1,4.2,0.0495908540218471,0.59,1501,1585.86749777198,16.04614,0.470509523809524,"0",10,0.7981,"forest",-1.47202826828381,0.8013714187284,18.0152292057285,"low","Sub-humid","direct measurement"
